id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
100036#12940509;0x128b4afcdca087d1ecca2ad0d015d6d948205520;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;12.348.843.173.946.400;11.349.739.078.263.000;12.256.494.574.744.900;100036;0;295.553.733;0;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3255250625167502.0;295.553.733;0.0;12.256.494.574.744.900;1627833082;414.245.635;25.875.309;11.401.926.244.192.600;12.326.022.132.909.900;12.243.184.380.320.500;0.01124592;0.17647162874846578;22.720.753.786.543.800;-695.275.581.650.465;-8.283.775.258.941.020;193184.0;-0.006097878259865005;-0.005672711535997524;9.991.040.956.834.050;0.08802881623921073;-695.275.581.650.465;-0.006125916876644799;-0.6051719575193323;1.0;1.073.782.106.471.380;-0.026575050164796773;-0.026575050164796773;-0.6051719575193323;9.224.831.195.159.030;16.004.327.526.095.800;0.062483100172090966;1.723.350.503.765.430;0.058026501156616034
100131#12962614;0x5953ffcb056dc2bf11a38646d26db9acca885e08;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;5.381.383.217.123.020;50.732.327.484.027.500;5.371.863.811.168.980;100131;0;786.833.303;83.768.541.719.733.100.000;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;891880789801019.0;786.833.303;8.376.854.171.973.310;5.371.863.811.168.980;1628134171;394.929.896;27.089.998;5.081.670.493.875.880;5.421.915.965.964.640;5.376.729.572.881.750;0.01210069;0.17532613952542328;-4.052.364.578.333.930;-5.005.215.479.565.900;-4.518.639.308.289.150;46.899.947.932.599.200;-0.009849547477739612;-0.009317465325832048;3.081.504.687.202.680;0.06074045564286125;-5.005.215.479.565.900;-0.009865929137869201;-0.4673463961790181;1.0;10.580.634.024.503.200;-0.0013593457455437373;-0.0013593457455437373;-0.4673463961790181;9.528.509.012.319.670;8.272.130.997.127.530;0.12088783414421823;3.307.649.331.932.150;0.03023295094634029
100143#12929744;0xa35d0c0e89f17e89f154018bdc02b309888701ca;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;4.714.374.087.688.000;45.112.718.242.850.300;4.699.926.323.168.700;100143;0;0;19.309.982.173.831.600.000;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;7295623417151413.0;0.0;1.930.998.217.383.160;4.699.926.323.168.700;1627685612;41.185.968;24.364.199;451.127.184.473.229;4.741.006.150.408.580;47.047.224.836.968.700;0.00163202;0.03179359060928902;-2.661.194.120.505.240;-4.107.982.723.988.090;-3.628.366.671.171.240;32585.0;-0.009106041190545625;-0.008740525790239378;20.310.226.340.296.700;0.045021065303497976;-4.107.982.723.988.090;-0.009106041231818577;-0.999796968488215;1.0;10.428.816.186.704.500;-0.019397352421402024;-0.019397352421402024;-0.999796968488215;1.446.788.603.482.840;16.475.224.485.898.000;0.06069720026309514;16.690.789.764.725.300;0.05991328236087536
100145#13165148;0xd7e03a7c9a26cb4af829bbb3fe0f92f74a5833c4;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;39.902.669.144.858.300;289.584.360.055.195;3.883.829.497.313.140;100145;0;0.07723159;0;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;19479138827050.0;0.07723159;0.0;3.883.829.497.313.140;1630837349;501.120.315;39.292.778;28.958.436.125.576.200;4.253.399.258.012.390;3.870.231.870.875.080;0.00098395;0.01445215176085245;-2.634.755.082.286.740;-36.956.976.069.924.800;-3.831.673.871.373.100;3184148.0;-0.12762075931746933;-0.09515602086932966;1.094.423.313.933.880;0.37792901306040494;-36.956.976.069.924.800;-0.12762075984656343;-0.6287994218972975;1.0;13.364.782.041.723.800;-0.10778640545325202;-0.10778640545325202;-0.6287994218972975;10.609.425.247.057.300;14.308.657.242.775.800;0.0698877597689946;1.980.329.834.207.500;0.05049663862687724
100179#12930333;0x1b964337eca0dc6de9b1d13916e13e95f607df9e;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;49.938.536.234.115.100;47.189.720.040.109.500;49.760.122.276.017.800;100179;0;0;202.448.095.075.781.000.000;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2,55E+31;0.0;2.024.480.950.757.810;49.760.122.276.017.800;1627693482;418.738.286;24.555.307;47.207.206.175.840.500;500.632.119.575.968;4.971.175.126.150.990;0.02008403;0.3833835274948634;-12.484.915.643.343.800;-30.308.968.157.895.700;-3.514.606.960.868.520;35515.0;-0.006420411334023633;-0.006091015610808354;27.488.161.940.056.400;0.05825031790121341;-30.308.968.157.895.700;-0.0064227904153985665;-0.9956118626455417;1.0;10.530.542.959.127.900;-0.021069633734730676;-0.021069633734730676;-0.9956118626455417;1.782.405.251.455.180;16.294.999.084.558.600;0.061368521397930684;1.694.302.604.249.980;0.05902133405754107
100229#12929219;0x3971007e35faaf31c95c7e19905f82aaa2d7e787;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;12.121.686.120.179.000;11.690.687.963.734;12.091.743.308.321.900;100229;0;0;4.995.762.898.908.180.000;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1,89E+32;0.0;4.995.762.898.908.180;12.091.743.308.321.900;1627678753;407.989.513;24.203.998;11.690.687.829.314.900;12.122.927.987.928.700;12.091.743.521.364.700;0.00349596;0.06483116862387277;-12.297.946.710.146.700;-3.118.467.960.678.820;-3.118.446.656.392.330;14739.0;-0.0026674803110036996;-0.002579006088007673;4.309.981.564.450.580;0.03686679156796159;-3.118.467.960.678.820;-0.0026674802803331255;-0.9960301618310727;1.0;1.034.305.568.492.220;-0.015263412249978976;-0.015263412249978976;-0.9960301618310727;29.954.884.935.773.500;16.508.206.256.586.000;0.06057593323326955;1.672.420.307.579.090;0.059793581521833145
100293#12948080;0x09d364bb4745c37fdd2acc1f39b842e5089193ff;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;17.971.395.261.924.300;17.421.387.106.566.300;17.887.683.390.482.900;100293;0;0.45770415;0;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;201335311237585.0;0.45770415;0.0;17.887.683.390.482.900;1627936058;388.984.397;25.977.573;1.763.840.115.828.760;183.661.876.216.177;17.803.977.279.214.700;0.00109499;0.015681995793853987;-3.951.728.095.956.220;-4.785.042.311.347.780;-5.622.103.424.029.440;2.635.236.759.577.340;-0.02712854905842456;-0.026750486392741347;550.008.155.357.973;0.03157085896740491;-4.785.042.311.347.780;-0.027466482904476872;-0.9611117139600752;1.0;10.093.872.522.481.600;-0.0002414548293425721;-0.0002414548293425721;-0.9611117139600752;833.314.215.391.565;15.102.526.623.105.800;0.06621408622250441;18.171.470.449.765.900;0.05503131971429849
100316#12938691;0xd3660816c68ef4db79d2ccbfa2e6d623dfd65699;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;57.158.028.661.805.200;544.007.786.939.062;5.676.233.610.588.080;100316;0;136.224.584;0;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3483713603044729.0;136.224.584;0.0;5.676.233.610.588.080;1627808311;416.682.029;25.941.754;5.515.409.796.503.400;5.781.618.014.889.770;5.676.233.606.080.090;0.00482871;0.07497137111067068;-6.581.514.883.521.110;-1.053.844.043.016.940;-10.538.440.880.968.100;131342.0;-0.01910726640267141;-0.018565903296354297;2.757.249.967.899.080;0.05068401655448995;-1.053.844.043.016.940;-0.01937185585056692;-0.9889217024541263;1.0;1.029.158.995.525.340;-0.010411856958245683;-0.010411856958245683;-0.9889217024541263;3.956.925.546.648.310;16.475.224.485.898.000;0.06069720026309514;17.010.930.469.824.900;0.058785732019413034
100328#12929440;0x3971007e35faaf31c95c7e19905f82aaa2d7e787;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;9.565.861.769.361.430;9.467.548.075.066.980;9.548.031.987.883.310;100328;0;0;39.110.488.263.455.700.000;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;3,18E+32;0.0;3.911.048.826.345.570;9.548.031.987.883.310;1627681360;411.297.717;24.432.051;9.553.854.394.378.120;9.553.854.394.378.120;9.555.494.438.876.520;0.00203115;0.03875579796590249;12.000.503.408.514.900;-58.224.064.948.168.200;16.400.444.983.970.300;2494.0;-0.0006094301058474327;-0.0006098017373847931;9.831.369.429.444.890;0.010384282552877698;-58.224.064.948.168.200;-0.0006149856804160594;-0.9995554392692253;1.0;10.001.716.631.247.100;-2,46E+09;-2,46E+09;-0.9995554392692253;1.782.290.990.333.170;16.757.683.277.002.000;0.059674119833281504;16.858.526.561.924.000;0.05931716489734962
100333#12929301;0x9a0081f929816d010f357727f5bef6e66aa51881;0x4585fe77225b41b697c938b018e2ac67ac5a20c0;50.286.425.412.987.000;50.103.447.010.932.300;50.286.425.412.987.000;100333;0;0;20.685.130.016.796.300.000;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;2,53E+31;0.0;20.685.130.016.796.300;50.286.425.412.987.000;1627679795;411.297.717;24.432.051;50.538.015.151.199.900;50.538.015.151.199.900;50.538.015.151.199.900;0.0;0.0;-25.158.973.821.291.800;-25.158.973.821.291.800;0.0;445.0;-0.0049782275275396335;-0.005003134268277952;1.829.784.020.547.300;0.003652012246079705;-25.158.973.821.291.800;-0.005021405775894484;-1.0;1.0;1.0;0.0;0.0;-1.0;0.0;1.672.420.307.579.090;0.059793581521833145;16.791.230.502.266.100;0.05955489681742127
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
